date,value,bet,margin,gender,repeated_from
2017-08-02,9960,9500,500,F,
2017-08-03,13690,11000,1500,M,
2017-08-04,14760,15500,2000,M,2017-03-29
2017-08-07,18480,19000,1000,M,
2017-08-09,14470,15000,1500,M,
2017-08-10,16520,17000,1000,F,
2017-08-11,23510,23000,2000,M,2017-06-19
2017-08-14,18560,19000,500,M,2017-05-22
2017-08-16,23430,22500,1500,M,2017-06-08
2017-08-17,9910,10000,500,M,
2017-08-18,15520,18500,1000,M,
2017-08-21,16570,14500,500,M,2017-04-13
2017-08-22,18460,17500,1000,M,2017-05-17
2017-08-24,26140,22500,1500,M,2017-07-10
2017-08-25,15300,14500,1000,F,
2017-08-28,12670,10000,500,M,
2017-08-29,19740,18000,1000,F,
2017-08-30,18620,17500,1500,F,2017-07-07
2017-09-01,9460,9000,2000,M,2017-04-26
2017-09-04,13840,13000,1500,M,
2017-09-05,25760,20500,1500,M,
2017-09-06,20140,21000,1000,M,
2017-09-07,9730,8500,2500,F,
2017-09-08,22600,21500,500,M,
2017-09-11,16420,19000,1000,F,
2017-09-13,17030,17000,500,M,
2017-09-14,11510,10500,1000,F,
2017-09-15,25020,22000,1500,F,
2017-09-18,12520,10000,2000,F,
2017-09-19,18990,18200,500,M,
2017-09-20,16990,17000,1000,M,
2017-09-21,13550,11500,1500,F,
2017-09-25,9480,9000,2500,F,
2017-09-27,14950,15000,2500,F,
2017-09-28,13310,11300,500,M,
2017-09-29,18990,19000,1500,F,
2017-10-02,16620,14500,1000,F,
2017-10-03,24230,23500,500,M,
2017-10-04,19160,18000,2000,F,
2017-10-05,12930,14000,1000,F,
2017-10-06,17530,15000,500,M,
2017-10-09,19600,22000,2500,M,
2017-10-11,14940,15000,1000,F,
2017-10-12,18910,17000,500,M,
2017-10-13,16620,20000,2000,M,
2017-10-16,16930,17000,500,M,
2017-10-18,20750,23000,2500,M,
2017-10-19,24110,21500,1500,M,
2017-10-20,15430,10500,2000,F,
2017-10-24,17520,17000,1500,F,
2017-10-25,16310,15000,2000,M,
2017-10-26,16440,22500,1000,M,
2017-10-27,9480,9000,2500,F,2017-09-25
2017-10-30,14670,13500,1000,M,
2017-11-01,18520,16000,2500,M,
2017-11-02,14990,13000,1500,F,
2017-11-03,23010,21000,2000,F,
2017-11-06,24150,22000,500,M,
2017-11-07,16460,14200,1500,M,
2017-11-08,14830,15000,2500,M,
2017-11-09,22600,21500,500,M,2017-09-08
2017-11-13,16950,17500,1000,F,
2017-11-15,15050,16000,1500,F,
2017-11-16,19090,23200,500,M,
2017-11-17,19160,18000,2000,F,2017-10-04
2017-11-20,16970,20000,2000,M,
2017-11-21,18870,22000,2500,F,
2017-11-22,14830,13500,1000,M,
2017-11-23,17620,16500,1500,M,
2017-11-24,14940,15000,1000,F,2017-10-11
2017-11-27,19740,21000,1500,F,
2017-11-28,19990,18500,1000,M,
2017-11-29,16570,15000,2000,M,
2017-11-30,16420,19000,1000,F,2017-09-11
2017-12-01,13450,13000,500,M,
2017-12-04,25680,22000,1500,M,
2017-12-06,15660,15500,2500,M,
2017-12-07,21100,20500,500,M,
